date,open,high,low,close,volume,change_percent,avg_vol_20d
2023-06-02,124.49,126.745,124.35,125.23,19362400,0.6915,29326560.0
2023-06-05,124.61,127.99,124.38,126.63,22672500,1.1179,29424920.0
2023-06-06,126.6,128.88,125.97,127.91,19450100,1.0108,29534125.0
2023-06-07,127.575,129.55,122.63,122.94,34179300,-3.8855,30003970.0
2023-06-08,122.585,123.73,122.01,122.67,24815000,-0.2196,28868045.0
2023-06-09,122.56,124.285,122.42,122.87,20304500,0.163,27027515.0
2023-06-12,123.395,124.75,122.35,124.35,22255700,1.2045,26576675.0
2023-06-13,125.65,125.86,123.845,124.43,19287700,0.0643,26435665.0
2023-06-14,123.8,124.79,122.16,124.38,24659600,-0.0402,26050140.0
2023-06-15,123.88,126.16,123.14,125.79,24517100,1.1336,25943015.0
2023-06-16,126.7,126.7,123.79,124.06,56686800,-1.3753,27426630.0
2023-06-20,123.535,125.175,122.83,123.85,22698000,-0.1693,27048965.0
2023-06-21,123.235,123.41,120.86,121.26,22612000,-2.0912,26691555.0
2023-06-22,120.66,123.935,119.6,123.87,20781900,2.1524,26506755.0
2023-06-23,122.04,123.44,121.86,123.02,29542900,-0.6862,26829505.0
2023-06-26,121.466,122.72,118.99,119.09,23185000,-3.1946,26298120.0
2023-06-27,117.84,119.895,116.91,119.01,27221700,-0.0672,26401470.0
2023-06-28,117.96,121.27,117.6,121.08,19753100,1.7393,26027590.0
2023-06-29,120.09,120.91,119.21,120.01,18517500,-0.8837,24876025.0
2023-06-30,121.1,122.03,120.88,120.97,23865800,0.7999,24818430.0
2023-07-03,120.32,121.02,119.705,120.56,13888300,-0.3389,24544725.0
2023-07-05,120.06,123.37,120.06,122.63,17830300,1.717,24302615.0
2023-07-06,120.64,121.15,119.25,120.93,17732500,-1.3863,24216735.0
2023-07-07,120.89,121.75,120.09,120.14,20982400,-0.6533,23556890.0
2023-07-10,119.07,119.07,116.64,116.87,32960100,-2.7218,23964145.0
2023-07-11,116.76,118.225,115.83,117.71,18286600,0.7187,23863250.0
2023-07-12,119.3,120.96,119.0,119.62,22059600,1.6226,23853445.0
2023-07-13,121.54,125.335,121.06,124.83,31535900,4.3555,24465855.0
2023-07-14,125.13,127.09,124.9,125.7,20482800,0.6969,24257015.0
2023-07-17,126.06,127.28,124.5,125.06,20675300,-0.5091,24064925.0
2023-07-18,124.905,124.99,123.3,124.08,21071200,-0.7836,22284145.0
2023-07-19,124.79,125.47,122.47,122.78,22313800,-1.0477,22264935.0
2023-07-20,122.12,124.7,118.685,119.53,27541700,-2.647,22511420.0
2023-07-21,120.87,121.3,119.07,120.31,56498100,0.6526,24297230.0
2023-07-24,121.926,123.35,121.38,121.88,22276100,1.305,23933890.0
2023-07-25,121.88,123.69,121.53,122.79,31820800,0.7466,24365680.0
2023-07-26,130.36,131.37,128.71,129.66,46216900,5.5949,25315440.0
2023-07-27,131.8,133.6,129.18,129.87,35931600,0.162,26124365.0
2023-07-28,130.97,134.07,130.92,133.01,26971000,2.4178,26547040.0
2023-07-31,133.01,133.83,132.13,133.11,18381900,0.0752,26272845.0
2023-08-01,130.855,132.92,130.75,131.89,22154300,-0.9165,26686145.0
2023-08-02,129.84,130.42,127.85,128.64,22705800,-2.4642,26929920.0
2023-08-03,128.37,129.77,127.775,128.77,15018100,0.1011,26794200.0
2023-08-04,129.6,131.93,128.315,128.54,20509500,-0.1786,26770555.0
2023-08-07,129.51,132.06,129.43,131.94,17621000,2.6451,26003600.0
2023-08-08,130.98,131.94,130.13,131.84,16836000,-0.0758,25931070.0
2023-08-09,132.19,132.47,129.505,130.15,17745200,-1.2819,25715350.0
2023-08-10,131.97,132.647,130.035,130.21,17855700,0.0461,25031340.0
2023-08-11,129.202,130.44,128.75,130.17,15191500,-0.0307,24766775.0
2023-08-14,129.85,131.91,129.59,131.83,17526200,1.2753,24609320.0
2023-08-15,131.59,131.99,129.819,130.27,14769200,-1.1833,24294220.0
2023-08-16,129.28,130.898,128.46,129.11,17548400,-0.8905,24055950.0
2023-08-17,130.45,132.491,129.85,130.46,23665600,1.0456,23862145.0
2023-08-18,129.06,129.83,127.0,128.11,23619400,-1.8013,22218210.0
2023-08-21,127.85,129.26,127.16,128.93,21851100,0.6401,22196960.0
2023-08-22,129.13,130.95,128.925,129.69,15569400,0.5895,21384390.0
2023-08-23,130.85,134.07,130.51,133.21,26497000,2.7142,20398395.0
2023-08-24,134.727,134.97,130.3,130.42,18680400,-2.0944,19535835.0
2023-08-25,130.14,131.4,128.04,130.69,20678100,0.207,19221190.0
2023-08-28,132.08,133.24,130.85,131.79,16715500,0.8417,19137870.0
2023-08-29,132.998,137.295,132.98,135.49,30803300,2.8075,19570320.0
2023-08-30,135.57,137.25,135.021,136.93,21773400,1.0628,19523700.0
2023-08-31,137.05,138.4,136.82,137.35,28147900,0.3067,20180190.0
2023-09-01,138.43,138.58,135.94,136.8,16665700,-0.4004,19988000.0
2023-09-05,136.44,137.37,135.56,136.71,17730200,-0.0658,19993460.0
2023-09-06,137.015,137.48,134.69,135.37,15814300,-0.9802,19942375.0
2023-09-07,134.6,136.58,133.96,136.2,16976000,0.6131,19903915.0
2023-09-08,135.87,137.515,135.87,137.2,17810700,0.7342,19901665.0
2023-09-11,137.38,138.264,136.55,137.74,17180800,0.3936,20001130.0
2023-09-12,137.13,137.64,135.93,136.07,15212900,-1.2124,19885465.0
2023-09-13,135.9,137.7,134.93,137.5,16394900,1.0509,19966750.0
2023-09-14,138.39,139.55,137.06,138.99,19064600,1.0836,20042560.0
2023-09-15,138.8,139.36,137.18,138.3,48947600,-0.4964,21306660.0
2023-09-18,137.63,139.93,137.63,138.96,16233600,0.4772,20937370.0
2023-09-19,138.25,139.175,137.5,138.83,15479100,-0.0936,20618770.0
2023-09-20,138.83,138.84,134.52,134.59,21473500,-3.0541,20913975.0
2023-09-21,132.39,133.19,131.09,131.36,22042700,-2.3999,20691260.0
2023-09-22,131.68,133.01,130.51,131.25,17348700,-0.0837,20624675.0
2023-09-25,130.77,132.22,130.03,132.17,14650000,0.701,20323270.0
2023-09-26,130.914,131.405,128.19,129.45,20378800,-2.058,20506435.0
2023-09-27,129.44,131.72,129.38,131.46,18764200,1.5527,19904480.0
2023-09-28,130.69,134.18,130.69,133.13,18201400,1.2703,19725880.0
2023-09-29,134.08,134.89,131.32,131.85,23224200,-0.9615,19479695.0
2023-10-02,132.155,135.36,132.065,135.17,19210400,2.518,19606930.0
2023-10-03,134.93,135.24,132.815,133.3,19628700,-1.3834,19701855.0
2023-10-04,133.66,136.57,133.43,136.27,22848000,2.2281,20053540.0
2023-10-05,136.13,136.5,134.455,135.99,15922900,-0.2055,20000885.0
2023-10-06,134.94,139.186,134.94,138.73,20819300,2.0148,20151315.0
2023-10-09,137.99,139.97,136.7,139.5,16599100,0.555,20122230.0
2023-10-10,139.51,140.74,138.43,139.2,19554900,-0.2151,20339330.0
2023-10-11,139.85,142.22,139.84,141.7,20146300,1.796,20526900.0
2023-10-12,142.16,142.38,139.45,140.29,18173100,-0.9951,20482325.0
2023-10-13,140.65,141.34,137.97,138.58,19438700,-1.2189,19006880.0
2023-10-16,139.73,140.905,139.32,140.49,17345600,1.3783,19062480.0
2023-10-17,140.03,141.25,138.529,140.99,17424000,0.3559,19159725.0
2023-10-18,140.75,141.99,138.705,139.28,18304900,-1.2129,19001295.0
2023-10-19,139.8,141.005,138.6,138.98,21831200,-0.2154,18990720.0
2023-10-20,138.59,139.04,136.245,136.74,24953900,-1.6117,19370980.0
2023-10-23,136.23,139.02,135.11,137.9,20780700,0.8483,19677515.0
2023-10-24,139.16,140.71,138.75,140.12,26535200,1.6099,19985335.0
2023-10-25,129.77,130.1,126.09,126.67,58796100,-9.5989,21986930.0
2023-10-26,124.47,125.46,122.32,123.44,33907400,-2.5499,22772230.0
2023-10-27,124.03,124.44,121.46,123.4,37367700,-0.0324,23479405.0
2023-10-30,124.46,126.55,123.88,125.75,24165600,1.9044,23727165.0
2023-10-31,126.27,126.56,123.925,125.3,21123400,-0.3579,23801900.0
2023-11-01,125.34,127.74,124.925,127.57,26536600,1.8116,23986330.0
2023-11-02,129.56,130.09,128.11,128.58,24091700,0.7917,24394770.0
2023-11-03,129.09,130.73,129.01,130.37,19517900,1.3921,24329700.0
2023-11-06,130.22,131.56,129.93,131.45,15360400,0.8284,24267765.0
2023-11-07,131.98,133.28,131.14,132.4,19223800,0.7227,24251210.0
2023-11-08,132.36,133.54,132.16,133.26,15093600,0.6495,23998575.0
2023-11-09,133.36,133.96,131.51,131.69,17976500,-1.1781,23988745.0
2023-11-10,131.53,134.27,130.87,134.06,20872900,1.7997,24060455.0
2023-11-13,133.36,134.11,132.77,133.64,16409900,-0.3133,24013670.0
2023-11-14,135.65,137.24,135.1,135.43,22317300,1.3394,24258335.0
2023-11-15,136.64,136.84,135.33,136.38,15840900,0.7015,24135135.0
2023-11-16,136.96,138.88,136.08,138.7,17615100,1.7011,23924330.0
2023-11-17,137.82,138.0,135.48,136.94,25565300,-1.2689,23954900.0
2023-11-20,135.5,138.425,135.49,137.92,19569400,0.7156,23894335.0
2023-11-21,137.94,138.965,137.705,138.62,17648100,0.5075,23449980.0
2023-11-22,139.1,141.1,139.0,140.02,17306400,1.01,21375495.0
2023-11-24,139.54,139.677,137.47,138.22,8828600,-1.2855,20121555.0
2023-11-27,137.57,139.63,137.54,138.05,17886400,-0.123,19147490.0
2023-11-28,137.63,138.66,137.04,138.62,17046900,0.4129,18791555.0
2023-11-29,138.985,139.67,136.295,136.4,21014700,-1.6015,18786120.0
2023-11-30,136.4,136.96,132.79,133.92,29913500,-1.8182,18954965.0
2023-12-01,133.32,133.5,132.152,133.32,24258400,-0.448,18963300.0
2023-12-04,131.294,131.45,129.4,130.63,24117100,-2.0177,19193260.0
2023-12-05,130.37,133.54,129.73,132.39,19235100,1.3473,19386995.0
2023-12-06,132.9,133.31,131.31,131.43,16360600,-0.7251,19243835.0
2023-12-07,136.6,140.0,136.23,138.45,38419400,5.3412,20410125.0
2023-12-08,135.66,137.99,135.57,136.64,22990900,-1.3073,20660845.0
2023-12-11,133.82,134.79,132.89,134.7,24502900,-1.4198,20842345.0
2023-12-12,133.27,134.54,132.83,133.64,26584000,-0.7869,21351050.0
2023-12-13,134.545,134.78,132.95,133.97,25414500,0.2469,21505910.0
2023-12-14,134.77,135.035,131.06,133.2,29619100,-0.5748,22194820.0
2023-12-15,132.92,134.83,132.63,133.84,58569400,0.4805,24242535.0
2023-12-18,133.86,138.38,133.77,137.19,25699800,2.503,24249260.0
2023-12-19,138.0,138.77,137.45,138.1,20661000,0.6633,24303840.0
2023-12-20,140.33,143.078,139.41,139.66,33507300,1.1296,25096800.0
2023-12-21,140.77,142.03,140.473,141.8,18101500,1.5323,25136555.0
2023-12-22,142.13,143.25,142.055,142.72,18494700,0.6488,25619860.0
2023-12-26,142.98,143.945,142.5,142.82,11170100,0.0701,25284045.0
2023-12-27,142.83,143.32,141.051,141.44,17288400,-0.9663,25296120.0
2023-12-28,141.85,142.27,140.828,141.28,12192500,-0.1131,24855010.0
2023-12-29,140.68,141.435,139.9,140.93,14872700,-0.2477,24102970.0
2024-01-02,139.6,140.615,137.74,139.56,20071900,-0.9721,23893645.0
2024-01-03,138.6,141.09,138.43,140.36,18974300,0.5732,23636505.0
2024-01-04,139.85,140.635,138.01,138.04,18253300,-1.6529,23587415.0
2024-01-05,138.352,138.81,136.85,137.39,15433200,-0.4709,23541045.0
2024-01-08,138.0,140.64,137.88,140.53,17645300,2.2855,22502340.0
2024-01-09,140.06,142.8,139.79,142.56,19579700,1.4445,22331780.0
2024-01-10,142.52,144.525,142.46,143.8,16641900,0.8698,21938730.0
2024-01-11,144.895,146.66,142.215,143.67,17471100,-0.0904,21483085.0
2024-01-12,144.34,144.74,143.36,144.24,13995200,0.3967,20912120.0
2024-01-16,143.43,145.84,143.056,144.08,19198900,-0.1109,20391110.0
2024-01-17,142.91,143.41,140.51,142.89,17884500,-0.8259,18356865.0
2024-01-18,143.44,145.585,143.35,144.99,18876800,1.4697,18015715.0
2024-01-19,146.305,148.04,145.8,147.97,27170900,2.0553,18341210.0
2024-01-22,148.71,150.015,147.58,147.71,21829200,-0.1757,17757305.0
2024-01-23,147.72,148.86,147.19,148.68,14113600,0.6567,17557910.0
2024-01-24,150.29,151.57,149.84,150.35,19245000,1.1232,17595425.0
2024-01-25,151.74,154.76,151.22,153.64,21495100,2.1882,18111675.0
2024-01-26,152.87,154.11,152.8,153.79,19494500,0.0976,18221980.0
2024-01-29,153.64,155.2,152.92,154.84,20909300,0.6828,18657820.0
2024-01-30,154.01,155.04,152.775,153.05,26578900,-1.156,19243130.0
2024-01-31,145.39,145.59,141.55,141.8,43908600,-7.3505,20434965.0
2024-02-01,143.69,144.62,142.26,142.71,25526900,0.6418,20762595.0
2024-02-02,140.89,143.88,138.17,143.54,42116900,0.5816,21955775.0
2024-02-05,144.04,146.67,143.91,144.93,29254400,0.9684,22646835.0
2024-02-06,145.96,146.74,144.52,145.41,21517700,0.3312,22840455.0
2024-02-07,146.12,147.0,145.21,146.68,21436100,0.8734,22933275.0
2024-02-08,146.97,147.61,146.42,147.22,18241300,0.3682,23013245.0
2024-02-09,147.95,150.695,147.43,150.22,21877700,2.0378,23233575.0
2024-02-12,149.54,150.59,148.56,148.73,17236100,-0.9919,23395620.0
2024-02-13,146.07,148.04,145.11,146.37,18138500,-1.5868,23342600.0
2024-02-14,147.37,147.83,145.555,147.14,16651800,0.5261,23280965.0
2024-02-15,144.46,144.76,141.88,143.94,26724300,-2.1748,23673340.0
2024-02-16,144.21,144.48,141.52,141.76,21849700,-1.5145,23407280.0
2024-02-20,140.94,143.329,140.8,142.2,18625600,0.3104,23247100.0
2024-02-21,142.64,143.98,141.91,143.84,16499600,1.1533,23366400.0
2024-02-22,146.12,146.2,144.01,145.32,23024700,1.0289,23555385.0
2024-02-23,144.97,145.955,144.79,145.29,14519400,-0.0207,23206600.0
2024-02-26,143.45,143.84,138.74,138.75,33513000,-4.5013,23907525.0
2024-02-27,139.41,140.49,138.5,140.1,22364000,0.973,23980260.0
2024-02-28,139.1,139.28,136.64,137.43,30628700,-1.9058,24182750.0
2024-02-29,138.35,139.95,137.57,139.78,35485000,1.71,23761570.0
2024-03-01,139.61,140.0,137.975,138.08,28522000,-1.2162,23911325.0
2024-03-04,136.54,136.63,132.86,134.2,43571500,-2.81,23984055.0
2024-03-05,132.74,134.02,131.55,133.78,28447600,-0.313,23943715.0
2024-03-06,134.24,134.74,131.95,132.56,23175200,-0.9119,24026590.0
2024-03-07,133.89,135.82,132.66,135.24,24107300,2.0217,24160150.0
2024-03-08,135.035,138.985,134.8,136.29,26472400,0.7764,24571705.0
2024-03-11,137.07,139.98,137.07,138.94,22536400,1.9444,24604640.0
2024-03-12,138.25,140.28,138.21,139.62,19019700,0.4894,24693820.0
2024-03-13,140.06,142.19,140.01,140.77,19637000,0.8237,24768745.0
2024-03-14,142.3,144.73,141.485,144.34,36117900,2.536,25742050.0
2024-03-15,143.41,144.34,141.13,142.17,41025900,-1.5034,26457130.0
2024-03-18,149.37,152.93,148.14,148.48,47676700,4.4383,27748480.0
2024-03-19,148.98,149.62,147.01,147.92,17748400,-0.3772,27704620.0
2024-03-20,148.79,149.76,147.665,149.68,17730000,1.1898,27766140.0
2024-03-21,150.32,151.305,148.01,148.74,19843900,-0.628,27607100.0
2024-03-22,150.24,152.56,150.09,151.77,19226300,2.0371,27842445.0
2024-03-25,150.95,151.456,148.8,151.15,15114700,-0.4085,26922530.0
2024-03-26,151.24,153.2,151.03,151.7,19312700,0.3639,26769965.0
2024-03-27,152.145,152.69,150.13,151.94,16622000,0.1582,26069630.0
2024-03-28,152.0,152.67,151.33,152.26,21105600,0.2106,25350660.0
2024-04-01,151.83,157.0,151.65,156.5,24469800,2.7847,25148050.0
2024-04-02,154.75,155.99,153.46,155.87,17598100,-0.4026,23849380.0
2024-04-03,154.92,156.55,154.132,156.37,17266200,0.3208,23290310.0
2024-04-04,155.08,156.18,151.88,151.94,24184800,-2.833,23340790.0
2024-04-05,151.68,154.84,151.081,153.94,16289800,1.3163,22949915.0
2024-04-08,154.015,156.655,153.99,156.14,16641500,1.4291,22458370.0
2024-04-09,157.35,159.89,156.64,158.14,21538100,1.2809,22408455.0
2024-04-10,157.88,158.16,156.2,157.66,16339200,-0.3035,22274430.0
2024-04-11,158.34,161.12,157.93,160.79,17841700,1.9853,22184665.0
2024-04-12,159.405,161.7,158.6,159.19,16968200,-0.9951,21227180.0
2024-04-15,160.28,160.83,156.15,156.33,21140900,-1.7966,20232930.0
2024-04-16,155.64,157.23,155.05,156.0,15413200,-0.2111,18619755.0
2024-04-17,157.19,158.681,156.135,156.88,16237800,0.5641,18544225.0
2024-04-18,156.925,158.485,156.21,157.46,14016100,0.3697,18358530.0
2024-04-19,157.75,157.99,153.91,155.72,20063900,-1.105,18369530.0
2024-04-22,156.01,159.185,155.66,157.95,17243900,1.4321,18270410.0
2024-04-23,158.59,160.48,157.965,159.92,16115400,1.2472,18320445.0
2024-04-24,159.09,161.39,158.82,161.1,19485700,0.7379,18329095.0
2024-04-25,153.36,158.28,152.768,157.95,36197800,-1.9553,19307885.0
2024-04-26,175.99,176.42,171.4,173.69,56500800,9.9652,21077645.0
2024-04-29,170.77,171.38,167.06,167.9,35914600,-3.3335,21649885.0
2024-04-30,167.38,169.87,164.5,164.64,29420800,-1.9416,22241020.0
2024-05-01,166.18,168.81,164.9,165.57,25223200,0.5649,22638870.0
2024-05-02,166.67,168.53,165.69,168.46,17041100,1.7455,22281685.0
2024-05-03,169.5267,169.85,164.98,168.99,22716443,0.3146,22603017.15
